,Brand,Model Name,Processor,Operating System,Storage,RAM,Screen Size,Touch_Screen,Price,order_date,ship_date, different Month,Year,Day,Hours,Minutes,vlookup,hlookup
134,Lenovo,15IRU8,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹44,990",25-03-2017,11-11-2017,4,#NUM!,-231,-5544,-332640,,Windows 11 Home
135,HP,14-dv2014TU,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹63,999",26-03-2017,13-11-2016,4,0,133,3192,191520,,Windows 11 Home
136,ASUS,UP5401ZA-KU541WS,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),Yes,"₹76,990",27-03-2017,11-11-2017,4,#NUM!,-229,-5496,-329760,,Windows 11 Home
137,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",28-03-2017,13-11-2016,4,0,135,3240,194400,,Chrome
138,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",29-03-2017,11-11-2017,4,#NUM!,-227,-5448,-326880,,Windows 11 Home
139,WINGS,WL-Nuvobook V1-GRN,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990",30-03-2017,13-11-2016,4,0,137,3288,197280,,#N/A
140,HP,14a-ca0504TU,Celeron Quad Core,Chrome,64 GB,4 GB,35.56 cm (14 Inch),Yes,"₹24,500",31-03-2017,11-11-2017,4,#NUM!,-225,-5400,-324000,,#N/A
141,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",01-04-2017,13-11-2016,4,0,139,3336,200160,,Windows 11 Home
142,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",02-04-2017,11-11-2017,4,#NUM!,-223,-5352,-321120,,Windows 11 Home
143,Lenovo,15APH8,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹1,01,990",03-04-2017,13-11-2016,4,0,141,3384,203040,,Windows 11 Home
144,Ultimus,NU14U3INF56BN-SG,Core i5,Windows 11 Home,512 GB,8 GB,35.81 cm (14.1 Inch),Yes,"₹19,990",04-04-2017,11-11-2017,4,#NUM!,-221,-5304,-318240,,Windows 11 Home
145,ASUS,FX506HF-HN026W,Core i5,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹55,990",05-04-2017,13-11-2016,4,0,143,3432,205920,,Windows 11 Home
146,Infinix,ZL513,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹48,990",06-04-2017,11-11-2017,4,#NUM!,-219,-5256,-315360,,Windows 11 Home
147,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",07-04-2017,13-11-2016,4,0,145,3480,208800,,Windows 11 Home
148,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",08-04-2017,11-11-2017,4,#NUM!,-217,-5208,-312480,,Windows 11 Home
149,Infinix,XL28,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹29,990",09-04-2017,13-11-2016,4,0,147,3528,211680,,Windows 11 Home
150,CHUWI,FreeBook,Core i3,Windows 11 Home,512 GB,12 GB,34.29 cm (13.5 inch),Yes,"₹33,990",10-04-2017,11-11-2017,4,#NUM!,-215,-5160,-309600,,Windows 11 Home
151,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",11-04-2017,13-11-2016,4,0,149,3576,214560,,Windows 11 Home
152,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",12-04-2017,11-11-2017,4,#NUM!,-213,-5112,-306720,,Windows 11 Home
153,ASUS,S3402ZA-KM502WS,Core i5,Windows 11 Home,NA,16 GB,35.56 cm (14 Inch),No,"₹65,990",13-04-2017,13-11-2016,5,0,151,3624,217440,,Windows 11 Home
154,MSI,Thin GF63 12VF-663IN,Core i7,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹79,990",14-04-2017,11-11-2017,5,#NUM!,-211,-5064,-303840,,Windows 11 Home
155,ASUS,X415EA-EK344WS,Core i3,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹35,990",15-04-2017,13-11-2016,5,0,153,3672,220320,,Windows 11 Home
156,Acer,Aspire 3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹44,990",16-04-2017,11-11-2017,5,#NUM!,-209,-5016,-300960,,Windows 11 Home
157,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",17-04-2017,13-11-2016,5,0,155,3720,223200,,Windows 11 Home
158,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",18-04-2017,11-11-2017,5,#NUM!,-207,-4968,-298080,,Windows 11 Home
159,ASUS,M1605YA-MB551WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,"₹53,990",19-04-2017,13-11-2016,5,0,157,3768,226080,,Windows 11 Home
160,Lenovo,15ARH7,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹56,990",20-04-2017,11-11-2017,5,#NUM!,-205,-4920,-295200,,Windows 11 Home
161,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",21-04-2017,13-11-2016,5,0,159,3816,228960,,Windows 11 Home
162,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",22-04-2017,11-11-2017,5,#NUM!,-203,-4872,-292320,,Windows 11 Home
163,MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹74,990",23-04-2017,13-11-2016,5,0,161,3864,231840,,Windows 11 Home
164,ASUS,X1605VAB-MB544WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹60,990",24-04-2017,11-11-2017,5,#NUM!,-201,-4824,-289440,,Windows 11 Home
165,HP,15s-fq5112TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹57,990",25-04-2017,13-11-2016,5,0,163,3912,234720,,Windows 11 Home
166,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",26-04-2017,11-11-2017,5,#NUM!,-199,-4776,-286560,,Windows 11 Home
167,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",27-04-2017,13-11-2016,5,0,165,3960,237600,,Windows 11 Home
168,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",28-04-2017,11-11-2017,5,#NUM!,-197,-4728,-283680,,Windows 11 Home
169,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",29-04-2017,13-11-2016,5,0,167,4008,240480,,Windows 11 Home
170,HP,15-fd0024TU,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹79,590",30-04-2017,11-11-2017,5,#NUM!,-195,-4680,-280800,,Windows 11 Home
171,Lenovo,15IHU6,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹50,990",01-05-2017,13-11-2016,5,0,169,4056,243360,,Windows 11 Home
172,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",02-05-2017,11-11-2017,5,#NUM!,-193,-4632,-277920,,Windows 11 Home
173,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",03-05-2017,13-11-2016,5,0,171,4104,246240,,Windows 11 Home
174,Infinix,INBook X1 Neo,Celeron Quad Core,Windows 11 Home,256 GB,8 GB,35.56 cm (14 inch),No,"₹24,990",04-05-2017,11-11-2017,5,#NUM!,-191,-4584,-275040,,Windows 11 Home
175,Lenovo,15ARH7,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹67,890",05-05-2017,13-11-2016,5,0,173,4152,249120,,Windows 11 Home
176,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",06-05-2017,11-11-2017,5,#NUM!,-189,-4536,-272160,,Windows 11 Home
177,HP,15-fd0011TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹60,490",07-05-2017,13-11-2016,5,0,175,4200,252000,,Windows 11 Home
178,DELL,Inspiron 3511,Core i3,Windows 11 Home,512 GB,8 GB,96.52 cm (38 cm),No,"₹36,990",08-05-2017,11-11-2017,5,#NUM!,-187,-4488,-269280,,Windows 11 Home
179,HP,HP Pavilion 15,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,38.1 cm (15 inch),No,"₹50,990",09-05-2017,13-11-2016,5,0,177,4248,254880,,Windows 11 Home
180,Lenovo,15IRU8,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹44,990",10-05-2017,11-11-2017,5,#NUM!,-185,-4440,-266400,,Windows 11 Home
181,MSI,GF63 Thin 11UCX-1496IN,Core i5,Windows 11 Home,4 TB,16 GB,39.62 cm (15.6 Inch),No,"₹50,990",11-05-2017,13-11-2016,5,0,179,4296,257760,,Windows 11 Home
182,Lenovo,15IAU7,Core i3,Windows 11 Home,NA,8 GB,39.62 cm (15.6 Inch),No,"₹35,990",12-05-2017,11-11-2017,5,#NUM!,-183,-4392,-263520,,Windows 11 Home
183,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",13-05-2017,13-11-2016,6,0,181,4344,260640,,Windows 11 Home
184,ASUS,X1605VAB-MB544WS,Core i5,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹60,990",14-05-2017,11-11-2017,6,#NUM!,-181,-4344,-260640,,Windows 11 Home
185,HP,15-fb0135AX,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹57,990",15-05-2017,13-11-2016,6,0,183,4392,263520,,Windows 11 Home
186,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",16-05-2017,11-11-2017,6,#NUM!,-179,-4296,-257760,,Windows 11 Home
187,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",17-05-2017,13-11-2016,6,0,185,4440,266400,,Windows 11 Home
188,ASUS,M1605YA-MB551WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,16 GB,40.64 cm (16 Inch),No,"₹53,990",18-05-2017,11-11-2017,6,#NUM!,-177,-4248,-254880,,Windows 11 Home
189,ASUS,X1504ZA-NJ521WS,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹47,990",19-05-2017,13-11-2016,6,0,187,4488,269280,,Windows 11 Home
190,HP,15-fe0027TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),Yes,"₹88,690",20-05-2017,11-11-2017,6,#NUM!,-175,-4200,-252000,,Windows 11 Home
191,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",21-05-2017,13-11-2016,6,0,189,4536,272160,,Windows 11 Home
192,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",22-05-2017,11-11-2017,6,#NUM!,-173,-4152,-249120,,Windows 11 Home
193,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",23-05-2017,13-11-2016,6,0,191,4584,275040,,Windows 11 Home
194,MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2 TB,16 GB,39.62 cm (15.6 Inch),No,"₹74,990",24-05-2017,11-11-2017,6,#NUM!,-171,-4104,-246240,,Windows 11 Home
195,Infinix,XL30,Celeron Quad Core,Windows 11 Home,512 GB,8 GB,39.01 cm (15.36 inch),No,"₹23,990",25-05-2017,13-11-2016,6,0,193,4632,277920,,Windows 11 Home
196,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",26-05-2017,11-11-2017,6,#NUM!,-169,-4056,-243360,,Windows 11 Home
197,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",27-05-2017,13-11-2016,6,0,195,4680,280800,,Windows 11 Home
198,ASUS,TN3402QA-LZ520WS,Ryzen 5 Hexa Core,Windows 11 Home,1 TB,8 GB,35.56 cm (14 inch),Yes,"₹58,990",28-05-2017,11-11-2017,6,#NUM!,-167,-4008,-240480,,Windows 11 Home
199,DELL,Inspiron 3511,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),Yes,"₹43,990",29-05-2017,13-11-2016,6,0,197,4728,283680,,Windows 11 Home
200,SAMSUNG,Galaxy Book3,Core i7,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹89,990",30-05-2017,11-11-2017,6,#NUM!,-165,-3960,-237600,,Windows 11 Home
201,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",31-05-2017,13-11-2016,6,0,199,4776,286560,,Windows 11 Home
202,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",01-06-2017,11-11-2017,6,#NUM!,-163,-3912,-234720,,Windows 11 Home
203,HP,15s-fy5007TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹52,990",02-06-2017,13-11-2016,6,0,201,4824,289440,,Windows 11 Home
204,ASUS,M1502QA-EJ741WS,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹49,990",03-06-2017,11-11-2017,6,#NUM!,-161,-3864,-231840,,Windows 11 Home
205,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",04-06-2017,13-11-2016,6,0,203,4872,292320,,Windows 10
206,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",05-06-2017,11-11-2017,6,#NUM!,-159,-3816,-228960,,Windows 11 Home
207,SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹74,990",06-06-2017,13-11-2016,6,0,205,4920,295200,,#N/A
208,DELL,Vostro,Core i3,Windows 10,256 GB,8 GB,38.0 cm (14.96 Inch),No,"₹34,990",07-06-2017,11-11-2017,6,#NUM!,-157,-3768,-226080,,#N/A
209,Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,"₹40,990",08-06-2017,13-11-2016,6,0,207,4968,298080,,Windows 11 Home
210,ASUS,E1404FA-NK321WS,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,35.81 cm (14.1 inch),No,"₹34,499",09-06-2017,11-11-2017,6,#NUM!,-155,-3720,-223200,,Windows 11 Home
211,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",10-06-2017,13-11-2016,6,0,209,5016,300960,,Windows 11 Home
212,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",11-06-2017,11-11-2017,6,#NUM!,-153,-3672,-220320,,Windows 11 Home
213,Infinix,INBook Y2 Plus,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹27,490",12-06-2017,13-11-2016,6,0,211,5064,303840,,Windows 11 Home
214,DELL,Inspiron 3520,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹53,480",13-06-2017,11-11-2017,7,#NUM!,-151,-3624,-217440,,Chrome
215,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",14-06-2017,13-11-2016,7,0,213,5112,306720,,Windows 10 Home
216,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",15-06-2017,11-11-2017,7,#NUM!,-149,-3576,-214560,,#N/A
217,HP,13b-ca0006MU,MediaTek Kompanio 1200,Chrome,256 GB,8 GB,33.78 cm (13.3 Inch),No,"₹35,990",16-06-2017,13-11-2016,7,0,215,5160,309600,,#N/A
218,ASUS,GA401QE-K2166TS,Ryzen 9 Octa Core,Windows 10 Home,1 TB,16 GB,35.56 cm (14 Inch),No,"₹89,990",17-06-2017,11-11-2017,7,#NUM!,-147,-3528,-211680,,#N/A
219,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",18-06-2017,13-11-2016,7,0,217,5208,312480,,Windows 11 Home
220,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",19-06-2017,11-11-2017,7,#NUM!,-145,-3480,-208800,,Windows 11 Home
221,WINGS,WL-Nuvobook V1-BLU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990",20-06-2017,13-11-2016,7,0,219,5256,315360,,Windows 11 Home
222,Lenovo,V15 G4,Ryzen 3 Quad Core,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹29,800",21-06-2017,11-11-2017,7,#NUM!,-143,-3432,-205920,,Windows 11 Home
223,ASUS,E510MA-EJ011WS,Celeron Dual Core,Windows 11 Home,1 TB,8 GB,39.62 cm (15.6 Inch),No,"₹24,990",22-06-2017,13-11-2016,7,0,221,5304,318240,,Windows 11 Home
224,HP,15-fb0137AX,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",23-06-2017,11-11-2017,7,#NUM!,-141,-3384,-203040,,Windows 11 Home
225,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",24-06-2017,13-11-2016,7,0,223,5352,321120,,Windows 11 Home
226,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",25-06-2017,11-11-2017,7,#NUM!,-139,-3336,-200160,,Windows 11 Home
227,Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),No,"₹40,990",26-06-2017,13-11-2016,7,0,225,5400,324000,,Windows 11 Home
228,HP,14s-fy1003AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹45,490",27-06-2017,11-11-2017,7,#NUM!,-137,-3288,-197280,,Chrome
229,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",28-06-2017,13-11-2016,7,0,227,5448,326880,,DOS
230,HP,Notebook,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹50,999",29-06-2017,11-11-2017,7,#NUM!,-135,-3240,-194400,,#N/A
231,HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹22,100",30-06-2017,13-11-2016,7,0,229,5496,329760,,#N/A
232,Lenovo,Lenovo V15,Celeron Dual Core,DOS,256 GB,8 GB,39.62 cm (15.6 inch),No,"₹21,990",01-07-2017,11-11-2017,7,#NUM!,-133,-3192,-191520,,#N/A
233,ASUS,M6500QFB-LK742WS,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹67,990",02-07-2017,13-11-2016,7,0,231,5544,332640,,Windows 11 Home
234,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",03-07-2017,11-11-2017,7,#NUM!,-131,-3144,-188640,,Windows 11 Home
235,HP,15s-fq5202TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 inch),No,"₹53,990",04-07-2017,13-11-2016,7,0,233,5592,335520,,Windows 11 Home
236,Infinix,XL30,Celeron Quad Core,Windows 11 Home,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹20,990",05-07-2017,11-11-2017,7,#NUM!,-129,-3096,-185760,,Windows 11 Home
237,Acer,A315-24P,Ryzen 3 Quad Core,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 Inch),No,"₹27,990",06-07-2017,13-11-2016,7,0,235,5640,338400,,Windows 11 Home
238,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",07-07-2017,11-11-2017,7,#NUM!,-127,-3048,-182880,,Windows 11 Home
239,DELL,INSP 5620,Core i3,Windows 11 Home,512 GB,8 GB,40.64 cm (16 inch),Yes,"₹43,990",08-07-2017,13-11-2016,7,0,237,5688,341280,,Windows 11 Home
240,Acer,ANV15-51,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹64,990",09-07-2017,11-11-2017,7,#NUM!,-125,-3000,-180000,,Windows 11 Home
241,ASUS,K3504VAB-NJ541WS,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹59,500",10-07-2017,13-11-2016,7,0,239,5736,344160,,Windows 11 Home
242,Infinix,XL422,Core i5,Windows 11 Home,512 GB,16 GB,35.56 cm (14 Inch),No,"₹38,990",11-07-2017,11-11-2017,7,#NUM!,-123,-2952,-177120,,Windows 11 Home
243,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",12-07-2017,13-11-2016,7,0,241,5784,347040,,Windows 11 Home
244,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",13-07-2017,11-11-2017,8,#NUM!,-121,-2904,-174240,,Windows 11 Home
245,ZEBRONICS,ZEB-NBC 2S,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹32,990",14-07-2017,13-11-2016,8,0,243,5832,349920,,Windows 11 Home
246,Infinix,INBook Y1 Plus,Core i3,Windows 11 Home,256 GB,8 GB,39.62 cm (15.6 inch),No,"₹28,790",15-07-2017,11-11-2017,8,#NUM!,-119,-2856,-171360,,Windows 11 Home
247,HP,15s-fq5007TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹38,990",16-07-2017,13-11-2016,8,0,245,5880,352800,,Prime OS
248,HP,15s-fy5003TU,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹37,990",17-07-2017,11-11-2017,8,#NUM!,-117,-2808,-168480,,Windows 11 Home
249,HP,15s- ey2001au,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹53,990",18-07-2017,13-11-2016,8,0,247,5928,355680,,#N/A
250,Primebook,Primebook S 4G,MediaTek MT8788,Prime OS,128 GB,4 GB,29.46 cm (11.6 Inch),No,"₹16,990",19-07-2017,11-11-2017,8,#NUM!,-115,-2760,-165600,,#N/A
251,HP,15s- fr4000TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹46,990",20-07-2017,13-11-2016,8,0,249,5976,358560,,Windows 11 Home
252,HP,15s- fr5011TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 inch),No,"₹53,990",21-07-2017,11-11-2017,8,#NUM!,-113,-2712,-162720,,Chrome
253,Lenovo,15ACH6H,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹99,990",22-07-2017,13-11-2016,8,0,251,6024,361440,,Windows 11 Home
254,Acer,PHN16-71,Core i7,Windows 11 Home,512 GB,16 GB,40.64 cm (16 Inch),No,"₹1,19,990",23-07-2017,11-11-2017,8,#NUM!,-111,-2664,-159840,,#N/A
255,HP,15a- na0012TU,Celeron Dual Core,Chrome,128 GB,4 GB,39.62 cm (15.6 Inch),No,"₹25,935",24-07-2017,13-11-2016,8,0,253,6072,364320,,#N/A
256,HP,14-dv2153TU,Core i5,Windows 11 Home,1 TB,16 GB,35.56 cm (14 inch),No,"₹66,999",25-07-2017,11-11-2017,8,#NUM!,-109,-2616,-156960,,Windows 11 Home
257,HP,15s-fy5002TU,Core i5,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹49,990",26-07-2017,13-11-2016,8,0,255,6120,367200,,Windows 11 Home
258,ZEBRONICS,ZEB-NBC 3S,Core i3,Windows 11 Home,512 GB,8 GB,39.62 cm (15.6 Inch),No,"₹31,990",27-07-2017,11-11-2017,8,#NUM!,-107,-2568,-154080,,Windows 11 Home
259,ASUS,ROG Strix G15,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 inch),Yes,"₹84,990",28-07-2017,13-11-2016,8,0,257,6168,370080,,Windows 11 Home
260,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹77,990",29-07-2017,11-11-2017,8,#NUM!,-105,-2520,-151200,,Windows 11 Home
261,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512 GB,16 GB,35.56 cm (14 inch),No,"₹54,990",30-07-2017,13-11-2016,8,0,259,6216,372960,,Windows 11 Home
262,ASUS,RC71L-NH019W,Ryzen Z1 HexaCore,Windows 11 Home,512 GB,16 GB,17.78 cm (7 Inch),Yes,"₹52,990",31-07-2017,11-11-2017,8,#NUM!,-103,-2472,-148320,,Windows 11 Home
263,Infinix,XL25,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹37,990",01-08-2017,13-11-2016,8,0,261,6264,375840,,Windows 11 Home
264,ASUS,G513RC-HN083W,Ryzen 7 Octa Core,Windows 11 Home,1 TB,16 GB,39.62 cm (15.6 Inch),No,"₹81,990",02-08-2017,11-11-2017,8,#NUM!,-101,-2424,-145440,,Windows 11 Home
265,MSI,Katana 17 B13UDXK-255IN,Core i7,Windows 11 Home,4 TB,16 GB,43.94 cm (17.3 Inch),No,"₹93,990",03-08-2017,13-11-2016,8,0,263,6312,378720,,Windows 11 Home
266,HP,15-eg3079TU,Core i5,Windows 11 Home,512 GB,16 GB,39.62 cm (15.6 Inch),No,"₹66,990",04-08-2017,11-11-2017,8,#NUM!,-99,-2376,-142560,,Windows 11 Home
